,id,name,province_id
0,1,Huyện A Lưới,1
1,2,Huyện An Biên,2
2,3,Huyện An Dương,3
3,4,Thị Xã An Khê,4
4,5,Huyện An Lão,3
5,6,Huyện An Lão,5
6,7,Huyện An Minh,2
7,8,Thị Xã An Nhơn,5
8,9,Huyện An Phú,6
9,10,Huyện Anh Sơn,7
10,11,Thị Xã Ayun Pa,4
11,12,Huyện Ân Thi,8
12,13,Huyện Ba Bể,9
13,14,Huyện Ba Chẽ,10
14,15,Quận Ba Đình,11
15,16,Thị Xã Ba Đồn,12
16,17,Huyện Ba Tơ,13
17,18,Huyện Ba Tri,14
18,19,Huyện Ba Vì,11
19,20,Thành Phố Bà Rịa,15
20,21,Huyện Bá Thước,16
21,22,Huyện Bác Ái,17
22,23,Thành Phố Bạc Liêu,18
23,24,Huyện Đảo Bạch Long Vĩ,3
24,25,Huyện Bạch Thông,9
25,26,Huyện Bảo Lạc,19
26,27,Huyện Bảo Lâm,19
27,28,Huyện Bảo Lâm,20
28,29,Thành Phố Bảo Lộc,20
29,30,Huyện Bảo Thắng,21
30,31,Huyện Bảo Yên,21
31,32,Huyện Bát Xát,21
32,33,Huyện Bàu Bàng,22
33,34,Huyện Bắc Bình,23
34,35,Thành Phố Bắc Giang,24
35,36,Huyện Bắc Hà,21
36,37,Thị Xã Bắc Kạn,9
37,38,Huyện Bắc Mê,25
38,39,Thành Phố Bắc Ninh,26
39,40,Huyện Bắc Quang,25
40,41,Huyện Bắc Sơn,27
41,42,Huyện Bắc Tân Uyên,22
42,43,Huyện Bắc Trà My,28
43,44,Quận Bắc Từ Liêm,11
44,45,Huyện Bắc Yên,29
45,46,Thị Xã Bến Cát,22
46,47,Huyện Bến Cầu,30
47,48,Huyện Bến Lức,31
48,49,Thành Phố Bến Tre,14
49,50,Thành Phố Biên Hòa,32
50,51,Thị Xã Bỉm Sơn,16
51,52,Huyện Bình Chánh,33
52,53,Huyện Bình Đại,14
53,54,Huyện Bình Gia,27
54,55,Huyện Bình Giang,34
55,56,Huyện Bình Liêu,10
56,57,Thị Xã Bình Long,35
57,58,Huyện Bình Lục,36
58,59,Thị Xã Bình Minh,37
59,60,Huyện Bình Sơn,13
60,61,Quận Bình Tân,33
61,62,Huyện Bình Tân,37
62,63,Quận Bình Thạnh,33
63,64,Quận Bình Thủy,38
64,65,Huyện Bình Xuyên,39
65,66,Huyện Bố Trạch,12
66,67,Huyện Bù Đăng,35
67,68,Huyện Bù Đốp,35
68,69,Huyện Bù Gia Mập,35
69,70,Huyện Buôn Đôn,40
70,71,Thị Xã Buôn Hồ,40
71,72,Thành Phố Buôn Ma Thuột,40
72,73,Thành Phố Cà Mau,41
73,74,Huyện Cai Lậy,42
74,75,Thị Xã Cai Lậy,42
75,76,Huyện Cái Bè,42
76,77,Huyện Cái Nước,41
77,78,Quận Cái Răng,38
78,79,Huyện Cam Lâm,43
79,80,Huyện Cam Lộ,44
80,81,Thành Phố Cam Ranh,43
81,82,Huyện Can Lộc,45
82,83,Huyện Càng Long,46
83,84,Thành Phố Cao Bằng,19
84,85,Thành Phố Cao Lãnh,47
85,86,Huyện Cao Lãnh,47
86,87,Huyện Cao Lộc,27
87,88,Huyện Cao Phong,48
88,89,Huyện Đảo Cát Hải,3
89,90,Huyện Cát Tiên,20
90,91,Huyện Cẩm Giàng,34
91,92,Huyện Cẩm Khê,49
92,93,Quận Cẩm Lệ,50
93,94,Huyện Cẩm Mỹ,32
94,95,Thành Phố Cẩm Phả,10
95,96,Huyện Cẩm Thủy,16
96,97,Huyện Cẩm Xuyên,45
97,98,Huyện Cần Đước,31
98,99,Huyện Cần Giờ,33
99,100,Huyện Cần Giuộc,31
100,101,Quận Cầu Giấy,11
101,102,Huyện Cầu Kè,46
102,103,Huyện Cầu Ngang,46
103,104,Thành Phố Châu Đốc,6
104,105,Huyện Châu Đức,15
105,106,Huyện Châu Phú,6
106,107,Huyện Châu Thành,6
107,108,Huyện Châu Thành,14
108,109,Huyện Châu Thành,47
109,110,Huyện Châu Thành,51
110,111,Huyện Châu Thành,2
111,112,Huyện Châu Thành,31
112,113,Huyện Châu Thành,52
113,114,Huyện Châu Thành,30
114,115,Huyện Châu Thành,42
115,116,Huyện Châu Thành,46
116,117,Huyện Châu Thành A,51
117,118,Huyện Chi Lăng,27
118,119,Thị Xã Chí Linh,34
119,120,Huyện Chiêm Hóa,53
120,121,Huyện Chợ Đồn,9
121,122,Huyện Chợ Gạo,42
122,123,Huyện Chợ Lách,14
123,124,Huyện Chợ Mới,9
