,hotel_id,clean_score,meal_score,location_score,sleep_score,room_score,service_score,facility_score,overall_score
0,71,8,8,8.8,7.8,-1,7.5,-1,8.3
1,77,9.4,8.7,9.3,9.3,-1,9.1,-1,9
2,123,8.9,8.7,8.9,8.9,-1,8.9,-1,9
3,143,8.1,7.7,8.6,8,-1,8.1,-1,8.2
4,206,8.3,7.5,8.5,8.2,-1,8,-1,8.1
5,245,7.6,7.7,8.3,7.9,-1,7.7,-1,8.1
6,262,8.1,7.6,9.3,8.7,-1,8.5,-1,8.5
7,331,9.2,8.4,8.6,8.9,-1,9,-1,8.8
8,343,9.1,8.2,8.5,8.8,-1,8.9,-1,8.9
9,416,10,9.2,9.3,10,-1,9.3,-1,8.7
10,417,5.8,6.7,6.5,6.8,4.4,6.2,4.9,5.9
11,446,10,8.7,9,9,-1,8.5,-1,8.6
12,447,8.8,8,8.6,8.4,-1,8.4,-1,8.6
13,462,9.1,8.5,8.8,8.8,-1,8.9,-1,8.8
14,662,9.2,8.4,8.6,8.9,-1,9,-1,8.8
15,695,8.8,7,8.4,8.7,-1,8.1,-1,8.4
16,707,8.8,8.3,9.1,8.8,-1,8.7,-1,8.6
17,765,8,8,8.5,8,-1,9,-1,8.8
18,769,8.7,8.2,8.7,8.6,-1,8.4,-1,8.7
19,953,7.2,6.5,7.7,7.4,-1,7,-1,7.7
20,959,9,8.6,9.1,9.1,-1,8.8,-1,8.9
21,1087,9.1,8.8,9.1,9.1,-1,9.1,-1,9
22,1106,8.7,7.7,8.4,9.3,-1,8.9,-1,8.5
23,1262,8.7,7.9,8.8,8.6,-1,8.4,-1,8.4
24,1400,7.7,7.5,8.5,7.7,-1,7.6,-1,8
25,1525,8,8,8,8,-1,8,-1,-1
26,1551,8.2,7.6,8.3,8.2,-1,8,-1,8.3
27,1784,9.1,8.3,8.6,8.8,-1,8.8,-1,8.8
28,1878,-1,-1,-1,-1,-1,-1,-1,-1
29,1926,7.5,7.9,8.5,7.9,-1,7.5,-1,8
30,1954,7.7,7.8,8.5,7.8,-1,7.9,-1,8.2
31,1988,8.3,8,8.4,8.2,-1,8.2,-1,8.2
32,2041,7.6,7.7,8.3,7.9,-1,7.7,-1,8.1
33,2114,8.2,8.4,8.9,8.1,-1,8.4,-1,8.4
34,2144,8.7,8,9.3,8.7,-1,9.3,-1,-1
35,2269,8,7.3,8.3,8,-1,7.7,-1,7.8
36,2350,8.4,8.3,8,8.4,-1,8.4,-1,8.5
37,2376,6,8,6,6,-1,6,-1,-1
38,2431,9.2,8.3,8.9,9.2,-1,8.9,-1,8.8
39,2451,7,8,7.7,8.3,-1,6.7,-1,7.6
40,2461,8.7,7.9,8.8,8.6,-1,8.4,-1,8.4
41,2636,8,8,8,8,-1,8.4,-1,8.6
42,2649,8.4,8,8.6,8.6,-1,8.4,-1,8.4
43,2665,8.2,7.5,7.9,8.5,-1,8.5,-1,9.2
44,2677,8.7,8,8.7,8.7,-1,8.7,-1,-1
45,2691,9.1,8.6,8.6,8.9,-1,8.8,-1,8.7
46,2772,-1,-1,-1,-1,-1,-1,-1,-1
47,2852,8,-1,8,6,-1,6,-1,-1
48,2918,8.3,8,8.3,8,-1,8,-1,8.3
49,2929,8.3,8,8.4,8.2,-1,8.2,-1,8.2
50,2942,8.4,8.1,8.6,8.1,-1,8.2,-1,8.4
51,2984,8.7,7.3,8.4,8.9,-1,8.2,-1,8.6
52,3026,8.1,-1,6.8,8.2,-1,6.8,-1,7.6
53,3062,6,6,6,6,-1,6,-1,-1
54,3106,8.7,8.1,8.5,8.7,-1,8.8,-1,8.7
