,hotel_id,clean_score,meal_score,location_score,sleep_score,room_score,service_score,facility_score,overall_score,num_review,review_score
0,71,8.0,8.0,8.8,7.8,-1.0,7.5,-1.0,8.25,3,3.33
1,77,9.4,8.7,9.3,9.3,-1.0,9.1,-1.0,8.85,11,9.49
2,123,8.9,8.7,8.9,8.9,-1.0,8.9,-1.0,9.15,101,5.09
3,143,8.1,7.7,8.6,8.0,-1.0,8.1,-1.0,7.95,4,5.38
4,206,8.3,7.5,8.5,8.2,-1.0,8.0,-1.0,7.0,-1,-1.0
5,245,7.6,7.7,8.3,7.9,-1.0,7.7,-1.0,7.6,4,7.32
6,262,8.1,7.6,9.3,8.7,-1.0,8.5,-1.0,7.9,3,2.73
7,331,9.2,8.4,8.6,8.9,-1.0,9.0,-1.0,8.9,14,6.56
8,343,9.1,8.2,8.5,8.8,-1.0,8.9,-1.0,9.0,205,3.84
9,416,10.0,9.2,9.3,10.0,-1.0,9.3,-1.0,8.7,12,3.66
10,417,5.8,6.7,6.5,6.8,4.4,6.2,4.9,5.65,-1,-1.0
11,446,10.0,8.7,9.0,9.0,-1.0,8.5,-1.0,8.6,167,3.99
12,447,8.8,8.0,8.6,8.4,-1.0,8.4,-1.0,8.45,36,4.41
13,462,9.1,8.5,8.8,8.8,-1.0,8.9,-1.0,8.6,228,4.48
14,662,9.2,8.4,8.6,8.9,-1.0,9.0,-1.0,8.95,192,4.26
15,695,8.8,7.0,8.4,8.7,-1.0,8.1,-1.0,8.3,6,3.33
16,707,8.8,8.3,9.1,8.8,-1.0,8.7,-1.0,8.35,150,3.79
17,765,8.0,8.0,8.5,8.0,-1.0,9.0,-1.0,8.7,15,3.6
18,769,8.7,8.2,8.7,8.6,-1.0,8.4,-1.0,8.65,47,4.07
19,953,7.2,6.5,7.7,7.4,-1.0,7.0,-1.0,7.8,-1,-1.0
20,959,9.0,8.6,9.1,9.1,-1.0,8.8,-1.0,8.7,12,3.91
21,1087,9.1,8.8,9.1,9.1,-1.0,9.1,-1.0,8.85,210,3.6
22,1106,8.7,7.7,8.4,9.3,-1.0,8.9,-1.0,8.4,13,3.45
23,1262,8.7,7.9,8.8,8.6,-1.0,8.4,-1.0,8.35,63,4.37
24,1400,7.7,7.5,8.5,7.7,-1.0,7.6,-1.0,8.2,48,3.51
25,1525,8.0,8.0,8.0,8.0,-1.0,8.0,-1.0,6.5,-1,-1.0
26,1551,8.2,7.6,8.3,8.2,-1.0,8.0,-1.0,7.7,20,3.26
27,1784,9.1,8.3,8.6,8.8,-1.0,8.8,-1.0,8.8,239,4.01
28,1878,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.1,26,4.72
29,1926,7.5,7.9,8.5,7.9,-1.0,7.5,-1.0,7.85,7,4.13
30,1954,7.7,7.8,8.5,7.8,-1.0,7.9,-1.0,8.0,-1,-1.0
31,1988,8.3,8.0,8.4,8.2,-1.0,8.2,-1.0,8.15,66,5.25
32,2041,7.6,7.7,8.3,7.9,-1.0,7.7,-1.0,7.8,-1,-1.0
33,2114,8.2,8.4,8.9,8.1,-1.0,8.4,-1.0,8.2,-1,-1.0
34,2144,8.7,8.0,9.3,8.7,-1.0,9.3,-1.0,9.1,35,4.0
35,2269,8.0,7.3,8.3,8.0,-1.0,7.7,-1.0,8.05,-1,-1.0
36,2350,8.4,8.3,8.0,8.4,-1.0,8.4,-1.0,8.25,6,4.18
37,2376,6.0,8.0,6.0,6.0,-1.0,6.0,-1.0,8.4,-1,-1.0
38,2431,9.2,8.3,8.9,9.2,-1.0,8.9,-1.0,8.35,-1,-1.0
39,2451,7.0,8.0,7.7,8.3,-1.0,6.7,-1.0,6.65,-1,-1.0
40,2461,8.7,7.9,8.8,8.6,-1.0,8.4,-1.0,7.45,-1,-1.0
41,2636,8.0,8.0,8.0,8.0,-1.0,8.4,-1.0,8.4,-1,-1.0
42,2649,8.4,8.0,8.6,8.6,-1.0,8.4,-1.0,8.15,33,4.53
43,2665,8.2,7.5,7.9,8.5,-1.0,8.5,-1.0,8.6,21,3.96
44,2677,8.7,8.0,8.7,8.7,-1.0,8.7,-1.0,7.8,7,3.11
45,2691,9.1,8.6,8.6,8.9,-1.0,8.8,-1.0,8.75,73,4.24
46,2772,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.3,-1,-1.0
47,2852,8.0,-1.0,8.0,6.0,-1.0,6.0,-1.0,7.6,-1,-1.0
48,2918,8.3,8.0,8.3,8.0,-1.0,8.0,-1.0,8.1,34,3.5
49,2929,8.3,8.0,8.4,8.2,-1.0,8.2,-1.0,8.0,-1,-1.0
50,2942,8.4,8.1,8.6,8.1,-1.0,8.2,-1.0,8.4,105,3.85
51,2984,8.7,7.3,8.4,8.9,-1.0,8.2,-1.0,8.85,14,9.11
52,3026,8.1,-1.0,6.8,8.2,-1.0,6.8,-1.0,7.3,-1,-1.0
53,3062,6.0,6.0,6.0,6.0,-1.0,6.0,-1.0,7.0,-1,-1.0
54,3106,8.7,8.1,8.5,8.7,-1.0,8.8,-1.0,8.95,174,5.29
55,3160,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.5,-1,-1.0
56,3191,6.0,-1.0,6.0,6.0,-1.0,6.0,-1.0,5.9,-1,-1.0
57,3192,6.0,-1.0,6.0,6.0,-1.0,6.0,-1.0,6.9,-1,-1.0
58,3266,8.9,8.0,9.3,8.9,-1.0,8.9,-1.0,8.95,7,8.49
59,3295,5.6,6.2,6.0,6.0,-1.0,5.9,-1.0,6.2,17,8.78
60,3315,7.8,7.1,8.8,7.9,-1.0,8.0,-1.0,7.15,55,3.55
61,3317,8.7,7.9,8.8,8.6,-1.0,8.4,-1.0,8.1,-1,-1.0
62,3361,9.0,8.7,9.0,9.1,-1.0,9.4,-1.0,9.05,119,4.05
63,3368,6.0,8.0,8.0,6.0,-1.0,10.0,-1.0,8.1,48,3.59
