,id,name,address,logo,lat,long,star_number,check_in_time,check_out_time,description,district_id,province_id,street_id
0,71,Canary Hotel,"37 Nguyễn Công Trứ, Thành Phố Huế, Thừa Thiên - Huế",https://www.googleapis.com/download/storage/v1/b/tourcdn/o/photos%2FIMXLNCNVYJ_%2Ftmp%2Fplaytemp1520709976633082362%2FmultipartBody235214700434444030asTemporaryFile?generation=1587466997482041&alt=media,16.47152726,107.5969595,2,14:00,12:00,"Canary Hotel nằm tại trung tâm Thành phố Huế, một Di sản Thế giới đã được UNESCO công nhận, gần Sông Hương và Sông Như Ý. Cách chợ Đông Ba 0.9km, Cầu Tràng Tiền 1.1 km, Tử Cấm Thành 2.1km.\n\nCanary Hotel có nhà hàng phục vụ&nbsp;các món ăn Việt Nam và châu Âu ngay trong khuôn viên. Một số địa điểm ẩm thực quanh khách sạn được đánh giá cao gồm có: Nhà hàng Risoto, Brown Eye Cafe.\n\nKhách sạn với phong cách hiện đại có nhiều dịch vụ tiện ích và đa dạng:\n- Wifi miễn phí.\n- Thu đổi ngoại tệ.\n- Lễ tân 24h.\n- Dịch vụ đưa đón.\n- Chỗ đỗ xe miễn phí.\n\nCanary Hotel được đặc biệt yêu thích bởi các các cặp đôi và gia đình&nbsp;có 25&nbsp;phòng nghỉ. Tất cả đều được trang bị nội thất thanh lịch với nhiều phòng còn có các tiện nghi như internet không dây, quạt, máy điều hòa.\n\nGiờ check-in là 14:00 và check out là 12:00 ngày kế tiếp.\n",275,1,27718
1,77,Khách Sạn Imperial Huế (Imperial Hotel Hue),"8 Hùng Vương Bùng binh Hùng Vương, Thành Phố Huế, Thừa Thiên - Huế",https://www.googleapis.com/download/storage/v1/b/tourcdn/o/photos%2FQD0P7VG1TN_%2Ftmp%2Fplaytemp3300947612890550841%2FmultipartBody5391650124925596268asTemporaryFile?generation=1587019783417008&alt=media,16.465359,107.592861,5,14:00,12:00,"Khách sạn Imperial là khách sạn 5 sao đầu tiên ở Huế, toạ lạc ngay đường Hùng Vương trung tâm thành phố Huế, sát bên bờ sông Hương và chỉ cách cầu Trường Tiền hai phút đi bộ. Rất thuận lợi cho du khách lưu trú di chuyển đến tất cả các điểm du lịch nổi tiếng của thành phố di sản thế giới.&nbsp;Khách sạn cách Chợ Đông Ba 750 m, Nhà thờ Đức Bà và ga tàu Huế 1 km cũng như sân bay Phú Bài 14 km.&nbsp;\n\nQuý khách có thể thưởng thức ẩm thực Âu, Nhật, Hàn và Việt tại khách sạn. Quán King’s Panorama Bar ở tầng trên cùng phục vụ đủ loại cocktail và rượu vang.&nbsp;Đặc biệt, du khách có thể thưởng thức ẩm thực đặc trưng của Huế ngay tại chợ Đông Ba cách đó chỉ 1,5km.&nbsp;\n\nKhách sạn là một kiệt tác kiến trúc độc đáo, nơi giao thoa giữa nền kiến trúc Cung đình Huế với những hình khối, đường nét hoa văn màu sắc và các loại vật liệu cổ được phục chế và những không gian mới mẻ sang trọng mang lại cảm giác thoải mái mà không kém phần trang trọng.&nbsp;Các tiện nghi được ưa chuộng nhất:&nbsp;\n\n\n\t&nbsp;Hồ bơi.\n\t&nbsp;Xe đưa đón sân bay.\n\t&nbsp;Phòng không hút thuốc.\n\t&nbsp;Trung tâm Spa &amp; chăm sóc sức khoẻ.\n\t&nbsp;Wi-Fi miễn phí.\n\t&nbsp;Trung tâm thể dục.\n\t&nbsp;Quầy bar.\n\tNhà hàng.\n\n\nKhách sạn có tổng cộng 194 phòng và 16 tầng, các phòng nghỉ tại Imperial Hue Hotel được trang bị nội thất sang trọng và có tầm nhìn tuyệt đẹp ra Sông Hương, Núi Ngự Bình và Cung điện Hoàng gia. Phù hợp với tất cả đối tượng khách hàng, các phòng tại đây đều&nbsp;rộng rãi có cửa sổ lớn, sàn gỗ, bàn làm việc, truyền hình vệ tinh, tủ lạnh mini, ấm đun nước điện và phòng tắm riêng đi kèm máy sấy tóc, đồ vệ sinh cá nhân miễn phí và vòi sen.&nbsp;&nbsp;\n\nGiờ check-in là 14:00 và check-out là 12:00.&nbsp;\n",275,1,27810
2,123,Indochine Palace Hotel,"105A Hùng Vương, Thành Phố Huế, Thừa Thiên - Huế",https://www.googleapis.com/download/storage/v1/b/hotel_image/o/logo%2F4%2F223212.jpg?generation=1563772834749018&alt=media,16.46098493,107.5978344,5,14:00,12:00,"Indochine Palace Hotel tiêu chuẩn 5 sao toạ lạc tại vị trí lí tưởng cách Trung tâm Thành phố Huế 0,5km và dễ dàng tiếp cận các địa điểm khác trong thành phố. Indochine Palace Hotel cách Cung An Định 0,3km, cách nhà thờ Dòng Chúa Cứu Thế tại Huế 0,4km, cách cầu Tràng Tiền 1,6km và chợ Đông Ba 1,7km,… Sân bay gần nhất là sân bay Phú Bài, cách đó 13km.\n\nDu khách có thể chọn thưởng thức các món ăn cao cấp tại nhà hàng La Brasserie hay các món ăn thông thường ở quán Le Petit Café. Quán Au Rendezvous &amp; Le Bar có ban nhạc sống trong khi quán Le Bar có danh sách rượu vang quốc tế. Du khách có thể thưởng thức đồ ăn nhẹ và đồ uống bên hồ bơi tại nhà hàng Les Bains. Dịch vụ ăn uống tại phòng 24 giờ cũng được cung cấp.\n\nĐược thiết kế theo phong cách hiện đại, Indochine Palace Hotel cung cấp những tiện ích và dịch vụ đa dạng:\n• Wifi miễn phí toàn bộ khách sạn.\n• Chỗ đỗ xe miễn phí.\n• Dịch vụ đưa đón.\n• Trung tâm Spa &amp; chăm sóc sức khoẻ.\n• Quầy bar.\n• Hồ bơi.\n\nToàn bộ khách sạn có tổng cộng 222 phòng cao cấp được trang bị tivi màn hình phẳng, giá treo quần áo, tủ đồ có khoá, gương, dép, bồn tắm và vòi sen riêng biệt giúp cho bạn phục hồi sức khỏe sau một ngày dài. Hãy tận hưởng dịch vụ không gì sánh bằng và địa chỉ thật sự đáng tin cậy tại Indochine Palace Hotel.\n\nGiờ check-in là 14:00 và check-out là 12:00 ngày kế tiếp.\n",275,1,519
3,143,Century Riverside Hue Hotel,"Số 49 Lê Lợi, Thành Phố Huế, Thừa Thiên - Huế",https://www.googleapis.com/download/storage/v1/b/hotel_image/o/logo%2F4%2F10999.jpg?generation=1563772836461481&alt=media,16.47046926,107.5938485,4,14:00,12:00,"Khách sạn Century Riverside Huế, với 125 phòng, tọa lạc trên một thửa đất rộng đến 20.000 mét vuông và được bao phủ bởi vườn cây ăn trái, các vườn hoa đầy màu sắc và bãi cỏ xanh tốt trong giống như một khu nghỉ dưỡng. Khách sạn Century nằm bên bờ sông Hương thơ mộng di chuyển khá gần để đi đến các di tích lịch sử, khu tham quan, danh lam thắng cảnh nổi tiếng như: Lăng Minh Mạng, Lăng Tự Đức, Lăng Khải Định, Chùa Thiên Mụ, Đàn Nam Giao,... . Ngoài ra khách sạn đi tới nhà ga Huế với quãng đường 1.5km và&nbsp;sân bay Phú Bài là 20km.\n\nKhách sạn sang trọng bên bờ sông Hương, gần trung tâm thành phố. Du khách sẽ tận hưởng các nhà hàng, quán cà phê, và các khu vực thương mại gần đó:&nbsp;Bún bò Huế Bà Cẩm, Chè Bà Tôn Đích, Bánh ướt Kim Long, Bánh xèo Hồng Mai, Bánh Mì cầu Tràng Tiền, chợ đêm Đông Ba với các món ăn ngon,...\n\nCentury Riverside Huế&nbsp;mang phong cách hiện đại&nbsp;và&nbsp;cung cấp những dịch vụ đa dạng:\n\n\n\tWifi miễn phí.\n\tDịch vụ cho thuê xe máy.\n\tDịch vụ báo thức.\n\tPhòng tập gym.\n\tHồ bơi ngoài trời.\n\n\n.Với quy mô 125&nbsp;phòng, các phòng lớn đều&nbsp;đi kèm TV, tủ lạnh mini và ấm đun nước điện. Phòng tắm riêng trong mỗi phòng được trang bị vòi sen, máy sấy tóc và đồ vệ sinh cá nhân miễn phí. Khách sạn với hệ thống phòng ngủ sang trọng, các dịch vụ phong phú, hoàn hảo cùng với phong cách phục vụ ân cần, lịch sự, sẽ đem đến cho quý khách một kỳ nghỉ hài lòng và ấn tượng.\n\nGiờ check-in là 14:00 và check-out là 12:00 ngày kế tiếp.\n",275,1,27705
4,206,Khách sạn Huế Smile ( Hue Smile Hotel ),"175-177 Bà Triệu, Thành Phố Huế, Thừa Thiên - Huế",https://www.googleapis.com/download/storage/v1/b/tourcdn/o/photos%2FRBMEVBMG34_%2Ftmp%2Fplaytemp3300947612890550841%2FmultipartBody6054987950058793313asTemporaryFile?generation=1587017059440024&alt=media,16.46230997,107.6001528,3,14:00,12:00,"Hue Smile Hotel tọa lạc ngay tại trung tâm thành phố, gần siêu thị, bưu điện, ngân hàng, nhà ga, bệnh viện, cách sân bay Sân bay quốc tế Phú Bài 15 Km, một số điểm nổi tiếng như : Cầu Trường Tiền, Sông Hương...\n\nTận hưởng những món ăn yêu thích với phong cách ẩm thực đặc biệt từ Hue Smile Hotel từ nhà hàng và quán Bar của khách sạn hay một số nhà hàng khác như : Nhà hàng Bình Minh, Miss Cafeteria...\n\nKhách sạn được thiết kế theo lối kiến trúc hiện đại với nhiều dịch vụ tiện ích như :\n\n\n\tĐưa/ đón khách sân bay.\n\tDịch vụ Tour.\n\tWifi miễn phí toàn bộ.\n\tDịch vụ giặt là.\n\tLễ tân 24h.\n\tDọn phòng hàng ngày.\n\n\nVới tổng cộng 51 phòng ngủ tùy chọn hạng phòng từ tiêu chuẩn đến phòng Suite cao cấp hay phòng gia đình phù hợp cho du khách có thể dễ dàng chọn lựa. Nhà hàng và quầy Bar khi ở đây quý khách sẽ được ngắm nhìn toàn cảnh thành phố từ trên cao và thưởng thức đồ ăn, thức uống do chính đội ngũ đầu bếp và nhân viên nhà hàng phục vụ, chắc chắn sẽ mang đến cho quý khách những giây phút thư giãn thoải mái và tuyệt vời.\n\nGiờ check-in là 14:00 và check-out là 12:00 ngày kế tiếp.\n",275,1,27647
5,245,Lang Co Beach Resort,"463 Lac Lang Quan, Thị Trấn Lăng Cô, Huyện Phú Lộc, Biển Lăng Cô, Huế, Việt Nam",https://www.googleapis.com/download/storage/v1/b/hotel_image/o/logo%2F4%2F302650.jpg?generation=1563772833561233&alt=media,16.2468605,108.0755844,3,14:00,12:00,"Nếu bạn đang muốn tìm một khách sạn có vị trí thuận lợi thuộc Huế, không lựa chọn nào tốt hơn Lang Co Beach Resort. Tọa lạc ở vị trí chỉ cách trung tâm thành phố 70.00 Km, khách hàng sẽ có được chỗ ở tốt để tận hưởng các điểm thú vị và hoạt động nổi tiếng ở đây. Với vị trí thuận lợi, khách sạn dễ dàng tiếp cận những điểm tham quan du lịch nổi tiếng của thành phố. Hãy tận hưởng hết vô số dịch vụ và tiện nghi không gì sánh được ở khách sạn Huế này. Khách sạn cung cấp miễn phí wifi tất cả các phòng, wifi công cộng, bãi đậu xe, phục vụ phòng, đưa đón sân bay để đảm bảo khách của họ được thoải mái nhất.  Chất lượng khách sạn Lang Co Beach Resort được phản ánh qua mỗi phòng. cafe hòa tan miễn phí, tivi màn hình phẳng, internet không dây, internet không dây (miễn phí), phòng không hút thuốc là một số thiết bị mà bạn có thể sử dụng và hài lòng ở khách sạn này. Khách sạn mang lại phương tiện giải trí đa dạng, bao gồm bãi biển riêng, hồ bơi ngoài trời, hồ bơi (trẻ em), sân tennis, sân vườn. Hãy tận hưởng dịch vụ không gì sánh bằng và địa chỉ thật sự đáng tin cậy tại Lang Co Beach Resort.",441,1,
6,262,Khách sạn Duy Tân (Duy Tan Hotel),"12 Bùng binh Hùng Vương, Thành Phố Huế, Thừa Thiên - Huế",https://www.googleapis.com/download/storage/v1/b/hotel_image/o/logo%2F4%2F43413.jpg?generation=1563772900016929&alt=media,16.46535873,107.5925903,3,12:00,12:00,"Khi đến thăm Huế, bạn sẽ cảm thấy như đang ở nhà tại Duy Tan Hotel, nơi có chất lượng tuyệt vời và dịch vụ chu đáo. Với vị trí cách trung tâm thành phố 0.2 Km và cách sân bay 12. Km, khách sạn 3 sao này thu hút được rất nhiều du khách mỗi năm. Khách sạn&nbsp;cách Sông Hương và Cầu Tràng Tiền vài bước,&nbsp;Chợ Đông Ba và Ga Xe Lửa Huế cách khách sạn trong vòng 10 phút lái xe.Với những điểm du lịch chính của thành phố như MANNA SHOP, Trang Tien Bridge, Green Bamboo Art Gallery khá gần, khách tham quan khi đến khách sạn đều rất hài lòng với vị trí này của khách sạn.\n\nKhách có thể thưởng thức các buổi biểu diễn truyền thống trong khi dùng bữa tại nhà hàng của Duy Tân, nơi phục vụ các món ăn Âu và Việt Nam.\n\nTại Duy Tan Hotel, mọi sự cố gắng đều nhằm mục đích khiến cho du khách hài lòng. Để làm được điều đó, khách sạn sẽ cung cấp dịch vụ và tiện nghi tốt nhất. Những tính năng hàng đầu của khách sạn bao gồm\n\n\n\tDịch vụ phòng 24 giờ,\n\tMiễn phí wifi tất cả các phòng\n\tQuầy lễ tân 24 giờ, tiện nghi cho người khuyết tật, nhận/trả phòng nhanh.\n\n\nKhách sạn đặc biệt có 135 phòng đẹp, nhiều phòng còn có tivi màn hình phẳng, internet không dây, internet không dây (miễn phí), bồn tắm thủy lực, máy điều hòa. Khách sạn được trang bị cơ sở vật chất tuyệt vời, bao gồm phòng thể dục, spa, sân vườn, karaoke, giúp cho bạn thư giãn sau một ngày khám phá các sự kiện thú vị trong thành phố. Duy Tan Hotel là một nơi lý tưởng cho du khách nghỉ chân tìm kiếm sự thoải mái và tiện nghi ở Huế.\n\nCheck in 12:00 và check out 12:00 ngày hôm sau.\n",275,1,27810
7,331,Eldora Hotel,"60 Bến Nghé, Thành Phố Huế, Thừa Thiên - Huế",https://www.googleapis.com/download/storage/v1/b/tourcdn/o/photos%2F8UUL171WJ6_%2Ftmp%2Fplaytemp3300947612890550841%2FmultipartBody5820237405443649971asTemporaryFile?generation=1587295668295354&alt=media,16.46500613,107.5946764,4,14:00,12:00,"Nằm ở thành phố Huế, cách Sông Hương chỉ 500 m, Eldora Hotel nằm cách Nhà thờ Dòng Chúa Cứu Thế nổi tiếng 800 m. Cung An Định và Cầu Tràng Tiền đều nằm trong bán kính 1 km. Sân bay quốc tế Đà Nẵng nằm cách khách sạn 80 km.&nbsp;\n\nKhách sạn có nhà hàng trong khuôn viên phục vụ tiệc tự chọn ngon miệng với ẩm thực địa phương Việt Nam cũng như các món ăn phương Tây được yêu thích. Một số địa điểm ẩm thực quanh khách sạn được đánh giá cao như: Cocosnack Cococlub,&nbsp;Nhà hàng Cherish Huế, Family Home Cafe &amp; Restaurant.\n\nĐược thiết kế theo phong cách hiện đại, khách sạn Eldora Huế&nbsp;cung cấp những tiện ích và dịch vụ đa dạng:\n• Nhà hàng, quầy bar.\n• Dịch vụ làm đẹp, phòng tập gym.\n• Hồ bơi trong nhà (quanh năm).\n• Dịch vụ cho doanh nhân.\n\nKhách sạn đặc biệt có 81 phòng đẹp đều có cửa sổ.&nbsp;Các cặp đôi, gia đình và doanh nhân đặc biệt thích khách sạn này, được trang trí đầy phong cách với đồ nội thất trang nhã&nbsp;có tivi màn hình phẳng, điện thoại trong phòng tắm, cafe hòa tan miễn phí, trà miễn phí, nước uống chào đón miễn phí. Khách sạn cung cấp rất nhiều phương tiện giải trí độc đáo như phòng thể dục, phòng sauna, hồ bơi trong nhà, massage, phòng tắm hơi. Với vị trí lý tưởng và cơ sở vật chất thích hợp, Eldora Hotel đạt được tiêu chuẩn ở mọi khía cạnh.\n\nGiờ check-in là 14:00 và check-out là 12:00 ngày kế tiếp.\n",275,1,27643
8,343,Hue Serene Palace Hotel,"21 Lane 42 Nguyen Cong Tru , Thành phố Huế, Huế, Việt Nam",https://www.googleapis.com/download/storage/v1/b/hotel_image/o/logo%2F4%2F487432.jpg?generation=1563772836534538&alt=media,16.47024176,107.5971928,3,14:00,12:00,"Hue Serene Palace Hotel, tọa lạc tại khu vực Thành phố Huế, Huế, là lựa chọn nổi tiếng dành cho khách du lịch. Khách sạn nằm cách trung tâm thành phố 0.2 Km và dễ dàng tiếp cận các địa điểm khác trong thành phố . Mang dáng vẻ gần gũi và gần với Pure Silk, Gold Silk Fashion, Tinh Hoa Art Shop làm cho khách sạn này có một vẻ đẹp quyến rũ đặc biệt. Tại Hue Serene Palace Hotel, mọi sự cố gắng đều nhằm mục đích khiến cho du khách hài lòng. Để làm được điều đó, khách sạn sẽ cung cấp dịch vụ và tiện nghi tốt nhất. Khách của khách sạn có thể tận hưởng tính năng tuyệt vời như dịch vụ phòng 24 giờ, miễn phí wifi tất cả các phòng, tiện nghi cho người khuyết tật, wifi công cộng, bãi đậu xe có nhân viên.  Hue Serene Palace Hotel có 30 phòng. Tất cả đồ nội thất đều dễ chịu, êm ái, và thậm chí nhiều phòng còn cung cấp các tiện nghi như tivi màn hình phẳng, internet không dây, internet không dây (miễn phí), phòng không hút thuốc, máy điều hòa. Bên cạnh đó, khách sạn còn gợi ý cho bạn những hoạt động vui chơi giải trí bảo đảm bạn luôn thấy hứng thú trong suốt kì nghỉ. Hue Serene Palace Hotel là nơi bạn có thể dừng chân ở một khách sạn chất lượng tại Huế.",275,1,27718
9,416,Khách Sạn Romance (Romance Hotel),"16 Nguyễn Thái Học, Thành Phố Huế, Thừa Thiên - Huế",https://www.googleapis.com/download/storage/v1/b/tourcdn/o/photos%2FUGSK8LJXRO_%2Ftmp%2Fplaytemp3300947612890550841%2FmultipartBody8462664390376317303asTemporaryFile?generation=1587017814393123&alt=media,16.4680842,107.5957725,4,14:00,12:00,"Tọa lạc tại trung tâm thành phố Huế – một di sản văn hóa thế giới được UNESCO công nhận, khách sạn Romance có một vị trí lý tưởng, chỉ cách dòng sông Hương và những địa điểm tham quan một quãng đi bộ ngắn, cách sân bay Phú Bài 15 km – khoảng 25 phút di chuyển bằng xe hơi, cách ga Huế 2,5 km – khoảng 5 phút di chuyển bằng xe hơi.&nbsp;Sân bay gần nhất là sân bay Phú Bài, cách chỗ nghỉ 14 km.\n\nNằm ở tầng 1, Lucky Plaza phục vụ một loạt món ăn Việt Nam và kiểu Á - Âu. Du khách có thể thưởng thức bữa sáng tự chọn quốc tế tại Nhà hàng Romance trên tầng 11, đồng thời thưởng ngoạn quang cảnh Sông Hương cũng như cảnh hoàng hôn. Du khách cũng có thể thư giãn tại quán Rendez-vous Bar &amp; Cafe trên tầng 11, nơi có tuyển chọn các loại đồ uống có cồn và thức uống giải khát. Ngoài ra khách nghỉ tại đây có thể thưởng thức ẩm thực tại các nhà hàng lân cận như: nhà hàng Madam Thu, nhà hàng nổi Sông Hương, quán chay Thanh Liêu....\n\nVới thiết kế sang trọng, hiện đại, thoáng mát, Resort cung cấp các tiện nghi, dịch vụ đa dạng:&nbsp;\n\n\n\tWifi free.\n\tHồ bơi.\n\tDịch vụ đưa đón.\n\tMassage.\n\tNhà hàng.\n\tQuầy bar.\n\n\nDu khách có thể tận hưởng liệu pháp mát-xa nhẹ nhàng tại Romance Spa hoặc rèn luyện sức khoẻ ở trung tâm thể dục. Tất cả các phòng nghỉ rộng rãi ở đây đều có máy điều hòa và cửa sổ lớn đón nhiều ánh sáng tự nhiên. Khóa từ, TV truyền hình cáp màn hình phẳng và tủ lạnh mini cũng được trang bị trong phòng. Một số phòng chọn lọc đi kèm bồn tắm spa và/hoặc khu vực ghế ngồi. Phòng tắm riêng được trang bị tiện nghi vòi sen và máy sấy tóc. Áo choàng tắm, dép đi trong phòng và đồ vệ sinh cá nhân miễn phí cũng được cung cấp. Khách sạn cũng có lễ tân 24 giờ và cung cấp dịch vụ đưa đón sân bay kèm phụ phí.\n\nKhách sạn này được chúng tôi và khách hàng đánh giá là một trong những khách sạn có dịch vụ tốt nhất ở thành phố Huế. Quý khách sẽ được tận hưởng những giây phút hài lòng và thoải mái nhất nếu lựa chọn khách sạn này để tận hưởng kì nghỉ của mình.\n\nGiờ check-in là 14:00, giờ check-out là 12:00 ngày kế tiếp.\n",275,1,27738
