,id,name,district_id,province_id
0,1,Hưng Bình,667,7
1,2,Phước Ninh,238,50
2,3,Phường 1,155,20
3,4,Xuân La,557,11
4,5,Hải Châu,238,50
5,6,Lộc Thọ,414,43
6,7,Thị trấn Cát Bà,89,3
7,8,Thị trấn Dương Đông,446,2
8,9,Phường 2,686,15
9,10,Phường 4,155,20
10,11,Bến Thành,479,33
11,12,Phường 8,155,20
12,14,Long Hòa,99,33
13,15,Nguyễn Thái Bình,479,33
14,16,Hàm Tiến,244,23
15,17,Trung Minh,316,48
16,18,Hàng Trống,259,11
17,19,Khuê Mỹ,412,50
18,20,Phường 2,186,44
19,21,Cô Giang,479,33
20,22,Tân Thuận Đông,485,33
21,23,Cẩm Phô,269,28
22,24,An Khánh,424,38
23,25,Cẩm Châu,269,28
24,26,Phường 2,155,20
25,27,Tân Lập,414,43
26,28,Vĩnh Nguyên,414,43
27,29,Phạm Ngũ Lão,479,33
28,30,Ninh Vân,423,43
29,31,Tỉnh Lộ 86,19,11
30,32,Tân An,424,38
31,33,Phường 1,686,15
32,34,Hàng Bạc,259,11
33,35,Cửa Cạn,446,2
34,36,Trúc Bạch,259,11
35,37,Bến Nghé,479,33
36,38,Thị trấn Lăng Cô,441,1
37,39,Xuân Phú,275,1
38,40,Phú Hội,275,1
39,41,Gia Sinh,214,60
40,42,Dương Tơ,446,2
41,43,Phường 6,483,33
42,44,Tỉnh 719,245,23
43,45,An Hải Bắc,524,50
44,46,Đại Kim,260,11
45,47,Mỹ An,412,50
46,48,Phường 6,638,58
47,49,Phạm Đình Hồ,259,11
48,50,Tiến Thành,244,23
49,51,Thị trấn Tam Đảo,527,39
50,52,Cửa Nam,259,11
51,53,Tuần Châu,235,10
52,54,Phú Nhuận,275,1
53,55,Phường 3,155,20
54,56,Thị trấn Sa Pa,503,21
55,57,Phường 11,443,33
56,58,Ninh Hải,250,60
57,59,Mũi Né,244,23
58,60,Xương Huân,414,43
59,61,Văn Miếu,259,11
60,62,Phước Mỹ,524,50
61,63,Phú Hài,244,23
62,64,Quán Thánh,259,11
63,65,Mễ Trì,394,11
64,66,Vạn Hương,183,3
65,67,Hàng Buồm,259,11
66,68,Bãi Cháy,235,10
67,69,Hà Huy Tập,667,7
68,70,Bình Kiến,638,58
69,71,Nghi Hương,142,7
70,72,Ghềnh Ráng,494,5
71,73,Phường 7,638,58
72,74,Nhân Chính,582,11
73,75,Hàng Bồ,259,11
74,76,Cỏ Ống,134,15
75,77,Tôn Đức Thắng,134,15
76,78,Ninh Khánh,420,60
77,79,Thắng Tam,686,15
78,80,Bạch Đằng,235,10
79,81,Hòa Phú,255,50
80,82,Cẩm An,269,28
81,83,Phường 2,61,33
82,85,Vĩnh Ninh,275,1
83,86,Đằng Hải,237,3
84,87,Tân Lập,72,40
85,88,Thị trấn Thiên Cầm,97,45
86,89,Hàng Gai,259,11
87,90,Hòa Hải,412,50
88,91,Tân Sơn,574,16
89,92,Mỹ Hải,432,17
90,93,Lê Lợi,494,5
91,94,Phước Thuận,690,15
92,95,Võ Thị Sáu,173,15
93,96,Shàng Bông,227,11
94,97,Quảng An,557,11
95,98,Lê Hồng Phong,523,13
96,99,Yên Phụ,557,11
97,100,Diên Hòa,146,43
98,101,San Sả Hồ,503,21
99,102,Cửa Dương,446,2
100,103,Phường 7,155,20
101,104,Chiềng Châu,355,48
102,105,Tự An,72,40
103,106,Lý Thái Tổ,259,11
104,107,Cầu Hùng Vương,638,58
105,108,Phương Liệt,582,11
106,109,Cái Khế,424,38
107,110,Bảo Ninh,192,12
108,111,Nam Cát Tiên,544,32
109,112,Trường Thi,667,7
110,113,Thắng Lợi,306,56
111,114,An Hải Đông,524,50
112,115,Phường 8,686,15
113,116,Hà Khẩu,684,61
114,117,Vỹ Dạ,275,1
115,118,Phường 9,155,20
116,119,Tân Định,42,22
117,120,Văn Hải,432,17
118,121,Đức Nghĩa,244,23
119,122,An Hải Tây,524,50
120,123,Hải Thành,192,12
121,124,Phước Đồng,414,43
122,125,Đống Đa,680,39
123,126,Cam Thịnh Đông,81,43
124,127,Phú Sơn,544,32
125,128,Phú Hội,642,53
126,129,Tràng Tiền,259,11
127,130,Bình An,480,33
128,131,Phường 10,483,33
129,132,Phường 8,443,33
130,133,Quyết Thắng,306,56
131,134,An Phú,424,38
132,135,Phường 6,481,33
133,136,Thuận An,451,1
134,137,Phường 10,155,20
135,138,Đông Hồ,293,2
136,139,Sơn Phong,269,28
137,140,Long Hải,338,15
138,141,Phường 13,61,33
139,142,Tân Tiến,243,23
140,143,Kỳ Nam,315,45
141,144,Phú Hội,567,55
142,145,Tân Thành,420,60
143,146,Hồng Gai,235,10
144,147,Nghĩa Hà,643,13
145,148,Trung Sơn,505,16
146,149,Nguyễn Văn Cừ,494,5
147,150,Sơn Trạch,66,12
148,151,Đồng Phú,192,12
149,152,Nguyễn An Ninh,686,15
150,153,Việt Hải,89,3
151,154,Văn Hải,422,17
152,155,Tân An,269,28
153,156,Minh An,269,28
154,157,Lộc Vĩnh,441,1
155,158,Cửa Đông,259,11
156,159,Chánh Nghĩa,596,22
157,160,Quan Lạn,660,10
158,161,Cư Yên,351,48
159,162,Lưu Kiếm,604,3
160,163,Hoằng Tiến,265,16
161,164,Cửa Đại,269,28
162,165,Thanh Hà,269,28
163,166,Tân Mai,50,32
164,167,Nguyễn Tất Thành,72,40
165,168,Bùi Thị Xuân,259,11
166,169,Láng Thượng,259,11
167,170,Hưng Long,244,23
168,171,Nguyễn Trung Trực,259,11
169,172,Phường 9,638,58
170,173,Phú Thủy,244,23
171,174,Xuân Phú,20,15
172,175,Phường Tân Thịnh,253,48
173,176,Hưng Lợi,424,38
174,177,Phường 10,443,33
175,178,P Châu Phú A,104,6
176,179,Vạn Sơn,183,3
177,180,68 – Khu Biệt Thự Ven Biển Phía Đông Đảo Tuần Châu,486,33
178,181,Trân Châu,89,3
179,182,Bình Yên,564,11
180,184,Hải Đinh,192,12
181,185,Anh Dũng,151,3
182,186,Phường 4,73,41
183,187,Bình Hàn,239,34
184,188,Ninh Thắng,250,60
185,189,Thị trấn Mai Châu,355,48
186,190,Thắng Lợi,72,40
187,191,An Lạc,424,38
188,192,Bắc Sơn,505,16
189,193,Hồ Thanh Tòng,134,15
190,194,Cẩm Nam,269,28
191,195,Vĩnh Hòa,414,43
192,196,Phường 17,63,33
193,197,Phường 13,481,33
194,198,Blao,29,20
195,199,Bình An,293,2
196,200,Phường 1,382,42
197,201,Phường 1,481,33
198,202,Khai Quang,680,39
199,203,Tân Phong,485,33
200,204,Vĩnh Hải,414,43
201,205,Hoằng Hải,265,16
202,206,Phường 1,443,33
203,207,Tam Hải,429,28
204,208,Châu Phú B,104,6
205,209,Phường Lộc Sơn,29,20
206,210,Thượng Đình,582,11
207,211,Ngọc Khánh,259,11
208,212,Nguyễn Đức Thuận,134,15
209,214,Phường 5,155,20
210,215,Vĩnh Tuy,236,11
211,216,Quang Trung,667,7
212,217,Vĩnh Hải,422,17
213,218,An Cư,424,38
214,219,Thảo Điền,480,33
215,220,Phường 6,155,20
216,221,Ngọc Hòa,131,11
217,222,Nguyễn Duy Trinh,492,28
218,223,Tân Phú,485,33
219,224,Phúc Thành,420,60
220,225,Phường 6,382,42
221,226,Phước Tiến,414,43
222,227,Điện Ngọc,174,28
223,228,Tân Thạnh,530,28
224,229,Nguyễn Trãi,239,34
225,230,Điện Dương,174,28
226,231,Vĩnh Trường,414,43
227,232,Phường 15,443,33
228,233,Bưng Riềng,690,15
229,234,Phong Sơn,434,1
230,235,Nam Hà,231,45
231,236,Phú Trinh,244,23
232,237,Bình Châu,690,15
233,238,Hoàng Văn Thụ,270,3
234,239,Him Lam,177,57
235,240,Thu Thủy,142,7
236,241,Vạn Thạnh,651,43
237,242,Vĩnh Bảo,501,2
238,243,Núi Sam,104,6
239,244,Phường 28,63,33
240,245,Ninh Thủy,423,43
241,246,Nguyễn Du,259,11
242,247,Đạo Long,425,17
243,248,Thủy Xuân,275,1
244,249,Liễu Giai,259,11
245,250,Mộ Lao,227,11
246,251,Phước Hội,243,23
247,252,Phan Chu Trinh,259,11
248,253,Giảng Võ,259,11
249,254,Thọ Quang,524,50
250,255,Tân Hoà,253,48
251,256,Quang Tiến,508,11
252,257,An Phú Đông,440,58
253,258,Bình San,230,2
254,259,Quán Bàu,667,7
255,260,Ninh Phước,423,43
256,261,Cốc Lếu,327,21
257,262,Phổ Thạnh,204,13
258,263,Lạc Đạo,244,23
259,264,Trần Phú,231,45
260,265,Lạch Tray,411,3
261,266,Đồng Xuân,259,11
262,267,Thanh Bình,420,60
263,268,Cam Hải Đông,79,43
264,269,Hùng Thắng,235,10
265,270,Đông Xá,660,10
266,271,Phường 5,686,15
267,272,Phường 3,686,15
268,273,Phường 4,638,58
269,274,Trần Hưng Đạo,259,11
270,275,Phường 12,488,33
271,276,Phường 10,226,33
272,277,Nguyễn Cư Trinh,479,33
273,278,Vĩnh Quang,501,2
274,279,Mỹ Đình 2,394,11
275,280,Điện Biên,574,16
276,281,Cát Linh,198,11
277,282,Phường 14,488,33
278,283,Liên Sơn,328,40
279,284,Thị trấn Khánh Hải,422,17
280,285,Lê Hồng Phong,494,5
281,286,Trường Sơn,478,16
282,287,Phường 4,61,33
283,288,Phường 7,61,33
284,289,Láng Hạ,259,11
285,290,Thị xã Kiên Lương,293,2
286,291,Cống Vị,259,11
287,292,Phường 5,186,44
288,293,Lê Đại Hành,259,11
289,294,Mỹ Long,344,6
290,295,Phường 3,49,14
291,296,Cúc Phương,416,60
292,297,Phường 5,483,33
293,298,Xuân Cảnh,510,58
294,299,Thanh Khê,238,50
295,300,Châu Thành,108,14
296,301,Phan Chu Trinh,72,40
297,302,Vĩnh Phú,599,22
298,303,Phố Huế,259,11
299,304,Chánh Lộ,523,13
300,305,Cầu Ông Lãnh,479,33
301,306,Lý Thái Tổ,243,23
302,307,Trần Phú,494,5
303,308,Vạn Thạnh,414,43
304,309,Bình Trị,60,13
305,310,Quốc Tử Giám,259,11
306,311,Phường Đúc,275,1
307,312,Tân An,72,40
308,313,Trung Hoà,101,11
309,314,Lạc Viên,411,3
310,315,Tỉnh Lộ 44a,173,15
311,316,Tây Sơn,466,4
312,317,Phúc La,227,11
313,318,Hàng Bài,259,11
314,319,Phú Cường,508,11
315,320,Phường 3,488,33
316,321,Phường 7,481,33
317,322,Hải Cảng,494,5
318,323,Gia Vân,214,60
319,324,Hòa Hiệp Nam,336,50
320,325,Thạch Linh,231,45
321,326,Phường 15,489,33
322,327,Tân Lợi,72,40
323,328,Phước Long,414,43
324,329,Phường 6,73,41
325,330,Quốc Lộ 20,156,20
326,331,Hoàng Văn Thụ,35,24
327,332,Phường 2,481,33
328,333,Phố Mới,327,21
329,334,Ninh Hải,423,43
330,335,Bắc Sơn,299,48
331,336,Phước Diêm,425,17
332,337,Phường 12,61,33
333,338,Thị Nại,494,5
334,339,Nam Bình,420,60
335,340,Tiên Lãng,609,3
336,341,Hoàng Phi Yến,134,15
337,342,Thổ Quan,259,11
338,343,Mỹ Bình,344,6
339,344,Phường 22,63,33
340,345,Bắc Lý,192,12
341,346,Đồng Phong,416,60
342,347,Phú Thọ,596,22
343,348,Máy Tơ,411,3
344,349,Mậu Thân,424,38
345,350,Đồng Tiến,133,10
346,351,Quang Phú,192,12
347,352,Trung Đô,667,7
348,353,Mỹ Xuân,549,15
349,354,Cam Nghĩa,81,43
350,355,Thị trấn Diễn Châu,147,7
351,356,Nghi Phú,667,7
352,357,Hàng Bông,259,11
353,358,Tỉnh Lộ 942,125,6
354,359,Kim Tân,327,21
355,360,Tăng Nhơn Phú B,487,33
356,361,Xuân Quan,654,8
357,362,Hàng Mã,259,11
358,363,Phường 9,481,33
359,364,Lộc Trì,441,1
360,365,Đội Cấn,259,11
361,366,Tứ Liên,557,11
362,367,Hạ Lý,270,3
363,368,Diễn Trung,147,7
364,369,Lê Mao,667,7
365,370,Trúc Bạch,15,11
366,371,Đồng Tiến,316,48
367,372,Thành Công,259,11
368,373,Phường 1,638,58
369,374,Hiệp Thành,596,22
370,375,Cầu Đất,411,3
371,376,Minh Khai,270,3
372,377,Sài Đồng,337,11
373,378,Tản Lĩnh,19,11
374,379,Đông Hương,574,16
375,380,Kỳ Trinh,315,45
376,381,Trương Quang Trọng,523,13
377,382,Giàng Tả Chải - Tả Van,503,21
378,383,Đông Thọ,574,16
379,384,Lê Lợi,667,7
380,385,Phạm Hùng,134,15
381,386,Ngọc Thanh,460,39
382,387,Phường 9,61,33
383,388,Thống Nhất,72,40
384,389,Tân Bình,243,23
385,390,Nghi Thuận,402,7
386,391,Quang Trung,270,3
387,392,Vân Giang,420,60
388,393,Thanh Khê,575,50
389,394,Thị trấn Cô Tô,133,10
390,395,Nghi Thu,142,7
391,396,Đt 2,299,48
392,397,Bình Hưng,244,23
393,398,Phú Dương,451,1
394,399,Phương Mai,259,11
395,400,Dịch Vọng,101,11
396,401,Khương Trung,582,11
397,402,Hàng Đào,259,11
398,403,Quang Trung,259,11
399,404,An Cựu,275,1
400,405,Phường 9,443,33
401,406,Hưng Trạch,66,12
402,407,Phường 1,483,33
403,408,Phúc Tân,259,11
404,409,Hữu Nghị,253,48
405,410,Nại Hiên Đông,524,50
406,411,Định Hòa,596,22
407,412,Krông Na,70,40
408,413,Xuân Phổ,403,45
409,414,Quảng Cư,505,16
