,id,name,name_no_accent,min_price_domain
0,71,Canary Hotel,canary hotel,311688
1,77,Khách Sạn Imperial Huế (Imperial Hotel Hue),khach san imperial hue (imperial hotel hue),-1
2,123,Indochine Palace Hotel,indochine palace hotel,5003247
3,143,Century Riverside Hue Hotel,century riverside hue hotel,3744145
4,206,Khách sạn Huế Smile ( Hue Smile Hotel ),khach san hue smile ( hue smile hotel ),448052
5,245,Lang Co Beach Resort,lang co beach resort,902916
6,262,Khách sạn Duy Tân (Duy Tan Hotel),khach san duy tan (duy tan hotel),606061
7,331,Eldora Hotel,eldora hotel,1041914
8,343,Hue Serene Palace Hotel,hue serene palace hotel,412987
9,416,Khách Sạn Romance (Romance Hotel),khach san romance (romance hotel),1105455
10,417,Khách sạn Champa Lăng Cô (Champa Lang Co Hotel),khach san champa lang co (champa lang co hotel),167054
11,446,Saigon Morin Hotel,saigon morin hotel,1243155
12,447,Mondial Hotel Hue,mondial hotel hue,716691
13,462,Thanh Lich Royal Boutique Hotel,thanh lich royal boutique hotel,1058009
14,662,Khách sạn Alba Spa (Alba Spa Hotel),khach san alba spa (alba spa hotel),559999
15,695,Thanh Tân Hotspring Hotel,thanh tan hotspring hotel,1060925
16,707,Huong Giang Hotel Resort & Spa,huong giang hotel resort & spa,735411
17,765,Khách sạn Stay (Stay Hotel),khach san stay (stay hotel),301437
18,769,Thanh Lich HUE  Hotel,thanh lich hue  hotel,783333
19,953,Khách sạn Thanh Uyên (Thanh Uyen Hotel),khach san thanh uyen (thanh uyen hotel),367360
20,959,Asia Hotel,asia hotel,620220
21,1087,Khách Sạn Cherish Huế (Cherish Hue Hotel),khach san cherish hue (cherish hue hotel),593208
22,1106,Hue Riverside Boutique Resort & Spa,hue riverside boutique resort & spa,1285000
23,1262,Khách sạn Mường Thanh Huế (Muong Thanh Holiday Hue Hotel),khach san muong thanh hue (muong thanh holiday hue hotel),879351
24,1400,DMZ Hotel,dmz hotel,340238
25,1525,Khách sạn Vọng Cảnh (Vong Canh Hotel),khach san vong canh (vong canh hotel),-1
26,1551,Phong Nha Hotel,phong nha hotel,183983
27,1784,Than Thien – Friendly Hotel,than thien - friendly hotel,311858
28,1878,Azerai La Residence Huế (Azerai La Residence Hue),azerai la residence hue (azerai la residence hue),4199999
29,1926,Khách sạn Như Phú (Nhu Phu Hotel),khach san nhu phu (nhu phu hotel),225108
30,1954,Khách sạn Bình Minh (Binh Minh Sunrise Hotel),khach san binh minh (binh minh sunrise hotel),352500
31,1988,Hong Thien 1 Hotel,hong thien 1 hotel,304326
32,2041,Lang Co Resort - Stork Village,lang co resort - stork village,1042867
33,2114,Khách sạn Trần Lý (Tran Ly Hotel),khach san tran ly (tran ly hotel),550000
34,2144,Khách sạn Whynot (Whynot Hotel),khach san whynot (whynot hotel),114286
35,2269,Khách sạn Amigo (Amigo Hotel),khach san amigo (amigo hotel),401606
36,2350,Khách sạn Victory Huế (Victory Hotel Hue),khach san victory hue (victory hotel hue),519481
37,2376,Khách sạn Hạnh Đạt Huế (Hanh Dat Hotel Hue),khach san hanh dat hue (hanh dat hotel hue),502165
38,2431,Khách sạn Golden Star Huế ( Golden Star Hotel Hue ),khach san golden star hue ( golden star hotel hue ),-1
39,2451,Khách sạn Ngũ Bình (Ngu Binh Hotel),khach san ngu binh (ngu binh hotel),450000
40,2461,Khách sạn Phượng Hoàng (Phoenix Hotel),khach san phuong hoang (phoenix hotel),-1
41,2636,Khách sạn Cyclist (Hotel Cyclist),khach san cyclist (hotel cyclist),227273
42,2649,Thái Bình 2 Hotel,thai binh 2 hotel,375065
43,2665,Khách sạn New Valentine (New Valentine Hotel),khach san new valentine (new valentine hotel),233766
